asic_0_2_40.FWHM: 118.725
asic_0_2_41.FWHM: 120.32
asic_0_2_42.FWHM: 118.547
asic_0_2_43.FWHM: 120.59
asic_0_2_44.FWHM: 120.856
asic_0_2_45.FWHM: 121.255
asic_0_2_46.FWHM: 116.472
asic_0_2_47.FWHM: 114.694
asic_0_2_48.FWHM: 120.758
asic_0_2_49.FWHM: 116.573
asic_0_2_50.FWHM: 114.355
asic_0_2_51.FWHM: 115.855
asic_0_2_52.FWHM: 117.101
asic_0_2_53.FWHM: 111.571
asic_0_2_54.FWHM: 115.243
asic_0_2_55.FWHM: 113.942
asic_0_2_56.FWHM: 118.329
asic_0_2_57.FWHM: 116.91
asic_0_2_58.FWHM: 115.67
asic_0_2_59.FWHM: 114.658
asic_0_2_60.FWHM: 115.72
asic_0_2_61.FWHM: 113.789
asic_0_2_62.FWHM: 111.189
asic_0_2_63.FWHM: 116.513
asic_0_2_64.FWHM: 114.273
asic_0_2_65.FWHM: 111.898
asic_0_2_66.FWHM: 113.044
asic_0_2_67.FWHM: 110.76
asic_0_2_68.FWHM: 117.743
asic_0_2_69.FWHM: 110.725
asic_0_2_70.FWHM: 112.8
asic_0_2_71.FWHM: -65272.2
asic_0_2_72.FWHM: 110.704
asic_0_2_73.FWHM: 114.151
asic_0_2_74.FWHM: 117.68
asic_0_2_75.FWHM: 116.583
asic_0_2_76.FWHM: 109.88
asic_0_2_77.FWHM: 107.572
asic_0_2_78.FWHM: 111.025
asic_0_2_79.FWHM: 108.085
asic_0_2_80.FWHM: 111.073
asic_0_2_81.FWHM: 112.643
asic_0_2_82.FWHM: 113.823
asic_0_2_83.FWHM: 112.545
asic_0_2_84.FWHM: 111.729
asic_0_2_85.FWHM: 107.871
asic_0_2_86.FWHM: 113.919
asic_0_2_87.FWHM: 108.468
asic_0_2_88.FWHM: 112.869
asic_0_2_89.FWHM: 113.822
asic_0_2_90.FWHM: 110.541
asic_0_2_91.FWHM: 106.406
asic_0_2_92.FWHM: 108.383
asic_0_2_93.FWHM: 110.817
asic_0_2_94.FWHM: 113.929
asic_0_2_95.FWHM: 111.823
asic_0_2_96.FWHM: 108.553
asic_0_2_97.FWHM: 110.054
asic_0_2_98.FWHM: 108.921
asic_0_2_99.FWHM: 115.483
asic_0_2_100.FWHM: 109.728
asic_0_2_101.FWHM: 103.85
asic_0_2_102.FWHM: 106.892
asic_0_2_103.FWHM: 110.082
asic_0_2_104.FWHM: 106.543
asic_0_2_105.FWHM: 105.129
asic_0_2_106.FWHM: 107.685
asic_0_2_107.FWHM: 113.154
asic_0_2_108.FWHM: 106.728
asic_0_2_109.FWHM: 106.361
asic_0_2_110.FWHM: 107.18
asic_0_2_111.FWHM: 104.723
asic_0_2_112.FWHM: 107.781
asic_0_2_113.FWHM: 107.017
asic_0_2_114.FWHM: 106.773
asic_0_2_115.FWHM: 112.843
asic_0_2_116.FWHM: 110.067
asic_0_2_117.FWHM: 108.862
asic_0_2_118.FWHM: 108.701
asic_0_2_119.FWHM: 109.675
asic_0_2_120.FWHM: 109.734
asic_0_2_121.FWHM: 109.803
asic_0_2_122.FWHM: 109.271
asic_0_2_123.FWHM: 103.177
asic_0_2_124.FWHM: 104.623
asic_0_2_125.FWHM: 110.28
asic_0_2_126.FWHM: 105.923
